Round,Date,Team 1,Team 2,FT,HT
-,-,Barrow,Gateshead,12-1,-
-,-,Carlisle United,Gateshead,6-0,-
-,-,Chester,Gateshead,4-0,-
-,-,Chesterfield,Gateshead,6-2,-
-,-,Crewe Alexandra,Gateshead,3-2,-
-,-,Darlington,Gateshead,3-3,-
-,-,Doncaster Rovers,Gateshead,5-2,-
-,-,Halifax Town,Gateshead,2-4,-
-,-,Hartlepool United,Gateshead,3-3,-
-,-,Mansfield Town,Gateshead,1-1,-
-,-,New Brighton,Gateshead,3-1,-
-,-,Rochdale,Gateshead,2-0,-
-,-,Rotherham United,Gateshead,3-2,-
-,-,Southport,Gateshead,1-1,-
-,-,Stockport County,Gateshead,1-0,-
-,-,Tranmere Rovers,Gateshead,2-1,-
-,-,Walsall,Gateshead,5-1,-
-,-,Wrexham,Gateshead,2-3,-
-,-,York City,Gateshead,1-1,-
-,-,Accrington Stanley,Halifax Town,1-1,-
-,-,Barnsley,Halifax Town,1-0,-
-,-,Barrow,Halifax Town,5-2,-
-,-,Carlisle United,Halifax Town,1-0,-
-,-,Chester,Halifax Town,1-2,-
-,-,Chesterfield,Halifax Town,4-2,-
-,-,Crewe Alexandra,Halifax Town,1-1,-
-,-,Darlington,Halifax Town,4-2,-
-,-,Doncaster Rovers,Halifax Town,3-0,-
-,-,Gateshead,Halifax Town,4-0,-
-,-,Hartlepool United,Halifax Town,5-0,-
-,-,Mansfield Town,Halifax Town,6-1,-
-,-,New Brighton,Halifax Town,3-0,-
-,-,Rochdale,Halifax Town,1-2,-
-,-,Rotherham United,Halifax Town,1-2,-
-,-,Southport,Halifax Town,1-4,-
-,-,Stockport County,Halifax Town,13-0,-
-,-,Tranmere Rovers,Halifax Town,3-2,-
-,-,Walsall,Halifax Town,2-0,-
-,-,Wrexham,Halifax Town,0-2,-
-,-,York City,Halifax Town,1-0,-
-,-,Accrington Stanley,Hartlepool United,2-2,-
-,-,Barnsley,Hartlepool United,5-4,-
-,-,Barrow,Hartlepool United,2-2,-
-,-,Carlisle United,Hartlepool United,4-1,-
-,-,Chester,Hartlepool United,3-3,-
-,-,Chesterfield,Hartlepool United,3-1,-
-,-,Crewe Alexandra,Hartlepool United,1-0,-
-,-,Darlington,Hartlepool United,5-3,-
-,-,Doncaster Rovers,Hartlepool United,3-0,-
-,-,Gateshead,Hartlepool United,6-3,-
-,-,Halifax Town,Hartlepool United,6-2,-
-,-,Mansfield Town,Hartlepool United,1-1,-
-,-,New Brighton,Hartlepool United,4-1,-
-,-,Rochdale,Hartlepool United,3-0,-
-,-,Rotherham United,Hartlepool United,4-2,-
-,-,Southport,Hartlepool United,0-2,-
-,-,Stockport County,Hartlepool United,5-2,-
-,-,Tranmere Rovers,Hartlepool United,3-2,-
-,-,Walsall,Hartlepool United,5-0,-
-,-,Wrexham,Hartlepool United,3-1,-
-,-,York City,Hartlepool United,1-3,-
-,-,Accrington Stanley,Mansfield Town,1-1,-
-,-,Barnsley,Mansfield Town,6-1,-
-,-,Barrow,Mansfield Town,6-3,-
-,-,Carlisle United,Mansfield Town,3-2,-
-,-,Chester,Mansfield Town,1-1,-
-,-,Chesterfield,Mansfield Town,3-2,-
-,-,Crewe Alexandra,Mansfield Town,2-1,-
-,-,Darlington,Mansfield Town,1-4,-
-,-,Doncaster Rovers,Mansfield Town,1-0,-
-,-,Gateshead,Mansfield Town,5-3,-
-,-,Halifax Town,Mansfield Town,4-2,-
-,-,Hartlepool United,Mansfield Town,3-1,-
-,-,New Brighton,Mansfield Town,5-1,-
-,-,Rochdale,Mansfield Town,2-2,-
-,-,Rotherham United,Mansfield Town,1-2,-
-,-,Southport,Mansfield Town,3-3,-
-,-,Stockport County,Mansfield Town,3-1,-
-,-,Tranmere Rovers,Mansfield Town,3-2,-
-,-,Walsall,Mansfield Town,0-0,-
-,-,Wrexham,Mansfield Town,5-0,-
-,-,York City,Mansfield Town,1-0,-
-,-,Accrington Stanley,New Brighton,8-0,-
-,-,Barnsley,New Brighton,2-0,-
-,-,Barrow,New Brighton,3-3,-
-,-,Carlisle United,New Brighton,1-2,-
-,-,Chester,New Brighton,0-0,-
-,-,Chesterfield,New Brighton,4-0,-
-,-,Crewe Alexandra,New Brighton,6-2,-
-,-,Darlington,New Brighton,1-0,-
-,-,Doncaster Rovers,New Brighton,1-0,-
-,-,Gateshead,New Brighton,6-0,-
-,-,Halifax Town,New Brighton,1-1,-
-,-,Hartlepool United,New Brighton,2-1,-
-,-,Mansfield Town,New Brighton,5-2,-
-,-,Rochdale,New Brighton,1-1,-
-,-,Rotherham United,New Brighton,2-2,-
-,-,Southport,New Brighton,4-0,-
-,-,Stockport County,New Brighton,5-1,-
-,-,Tranmere Rovers,New Brighton,1-0,-
-,-,Walsall,New Brighton,2-1,-
-,-,Wrexham,New Brighton,5-4,-
-,-,York City,New Brighton,2-1,-
-,-,Accrington Stanley,Rochdale,1-3,-
-,-,Barnsley,Rochdale,4-1,-
-,-,Barrow,Rochdale,5-3,-
-,-,Carlisle United,Rochdale,3-0,-
-,-,Chester,Rochdale,7-1,-
-,-,Chesterfield,Rochdale,3-0,-
-,-,Crewe Alexandra,Rochdale,4-1,-
-,-,Darlington,Rochdale,1-1,-
-,-,Doncaster Rovers,Rochdale,5-0,-
-,-,Gateshead,Rochdale,2-1,-
-,-,Halifax Town,Rochdale,4-2,-
-,-,Hartlepool United,Rochdale,2-1,-
-,-,Mansfield Town,Rochdale,5-0,-
-,-,New Brighton,Rochdale,0-2,-
-,-,Rotherham United,Rochdale,4-0,-
-,-,Southport,Rochdale,3-0,-
-,-,Stockport County,Rochdale,4-1,-
-,-,Tranmere Rovers,Rochdale,4-0,-
-,-,Walsall,Rochdale,2-0,-
-,-,Wrexham,Rochdale,4-1,-
-,-,York City,Rochdale,6-1,-
-,-,Accrington Stanley,Rotherham United,2-2,-
-,-,Barnsley,Rotherham United,5-1,-
-,-,Barrow,Rotherham United,4-1,-
-,-,Carlisle United,Rotherham United,0-1,-
-,-,Chester,Rotherham United,5-1,-
-,-,Chesterfield,Rotherham United,2-1,-
-,-,Crewe Alexandra,Rotherham United,0-2,-
-,-,Darlington,Rotherham United,4-1,-
-,-,Doncaster Rovers,Rotherham United,2-1,-
-,-,Gateshead,Rotherham United,4-1,-
-,-,Halifax Town,Rotherham United,3-2,-
-,-,Hartlepool United,Rotherham United,4-0,-
-,-,Mansfield Town,Rotherham United,3-0,-
-,-,New Brighton,Rotherham United,3-1,-
-,-,Rochdale,Rotherham United,0-2,-
-,-,Southport,Rotherham United,4-0,-
-,-,Stockport County,Rotherham United,3-1,-
-,-,Tranmere Rovers,Rotherham United,1-2,-
-,-,Walsall,Rotherham United,3-1,-
-,-,Wrexham,Rotherham United,4-0,-
-,-,York City,Rotherham United,0-1,-
-,-,Accrington Stanley,Southport,3-2,-
-,-,Barnsley,Southport,3-2,-
-,-,Barrow,Southport,3-3,-
-,-,Carlisle United,Southport,0-0,-
-,-,Chester,Southport,1-0,-
-,-,Chesterfield,Southport,2-1,-
-,-,Crewe Alexandra,Southport,2-2,-
-,-,Darlington,Southport,4-0,-
-,-,Doncaster Rovers,Southport,3-0,-
-,-,Gateshead,Southport,2-2,-
-,-,Halifax Town,Southport,6-2,-
-,-,Hartlepool United,Southport,1-2,-
-,-,Mansfield Town,Southport,2-2,-
-,-,New Brighton,Southport,5-2,-
-,-,Rochdale,Southport,3-3,-
-,-,Rotherham United,Southport,0-1,-
-,-,Stockport County,Southport,9-2,-
-,-,Tranmere Rovers,Southport,5-0,-
-,-,Walsall,Southport,4-1,-
-,-,Wrexham,Southport,2-1,-
-,-,York City,Southport,1-0,-
-,-,Accrington Stanley,Stockport County,0-3,-
-,-,Barnsley,Stockport County,2-0,-
-,-,Barrow,Stockport County,2-0,-
-,-,Carlisle United,Stockport County,2-2,-
-,-,Chester,Stockport County,1-1,-
-,-,Chesterfield,Stockport County,1-0,-
-,-,Crewe Alexandra,Stockport County,2-2,-
-,-,Darlington,Stockport County,1-2,-
-,-,Doncaster Rovers,Stockport County,0-2,-
-,-,Gateshead,Stockport County,0-4,-
-,-,Halifax Town,Stockport County,4-2,-
-,-,Hartlepool United,Stockport County,3-1,-
-,-,Mansfield Town,Stockport County,1-1,-
-,-,New Brighton,Stockport County,2-1,-
-,-,Rochdale,Stockport County,1-1,-
-,-,Rotherham United,Stockport County,1-1,-
-,-,Southport,Stockport County,1-4,-
-,-,Tranmere Rovers,Stockport County,1-1,-
-,-,Walsall,Stockport County,2-0,-
-,-,Wrexham,Stockport County,0-1,-
-,-,York City,Stockport County,2-2,-
-,-,Accrington Stanley,Tranmere Rovers,2-2,-
-,-,Barnsley,Tranmere Rovers,5-1,-
-,-,Barrow,Tranmere Rovers,1-3,-
-,-,Carlisle United,Tranmere Rovers,2-1,-
-,-,Chester,Tranmere Rovers,4-2,-
-,-,Chesterfield,Tranmere Rovers,1-0,-
-,-,Crewe Alexandra,Tranmere Rovers,3-1,-
-,-,Darlington,Tranmere Rovers,1-3,-
-,-,Doncaster Rovers,Tranmere Rovers,2-0,-
-,-,Gateshead,Tranmere Rovers,1-2,-
-,-,Halifax Town,Tranmere Rovers,0-2,-
-,-,Hartlepool United,Tranmere Rovers,1-1,-
-,-,Mansfield Town,Tranmere Rovers,0-0,-
-,-,New Brighton,Tranmere Rovers,1-0,-
-,-,Rochdale,Tranmere Rovers,1-0,-
-,-,Rotherham United,Tranmere Rovers,2-2,-
-,-,Southport,Tranmere Rovers,2-2,-
-,-,Stockport County,Tranmere Rovers,2-1,-
-,-,Walsall,Tranmere Rovers,5-3,-
-,-,Wrexham,Tranmere Rovers,5-1,-
-,-,York City,Tranmere Rovers,1-0,-
-,-,Accrington Stanley,Walsall,1-0,-
-,-,Barnsley,Walsall,1-1,-
-,-,Barrow,Walsall,5-5,-
-,-,Carlisle United,Walsall,3-2,-
-,-,Chester,Walsall,0-1,-
-,-,Chesterfield,Walsall,1-2,-
-,-,Crewe Alexandra,Walsall,1-4,-
-,-,Darlington,Walsall,2-1,-
-,-,Doncaster Rovers,Walsall,4-0,-
-,-,Gateshead,Walsall,2-1,-
-,-,Halifax Town,Walsall,2-0,-
-,-,Hartlepool United,Walsall,0-1,-
-,-,Mansfield Town,Walsall,1-2,-
-,-,New Brighton,Walsall,2-0,-
-,-,Rochdale,Walsall,3-3,-
-,-,Rotherham United,Walsall,1-1,-
-,-,Southport,Walsall,3-1,-
-,-,Stockport County,Walsall,3-2,-
-,-,Tranmere Rovers,Walsall,1-0,-
-,-,Wrexham,Walsall,4-2,-
-,-,York City,Walsall,2-2,-
-,-,Accrington Stanley,Wrexham,1-1,-
-,-,Barnsley,Wrexham,3-0,-
-,-,Barrow,Wrexham,3-1,-
-,-,Carlisle United,Wrexham,0-0,-
-,-,Chester,Wrexham,1-2,-
-,-,Chesterfield,Wrexham,4-0,-
-,-,Crewe Alexandra,Wrexham,1-0,-
-,-,Darlington,Wrexham,2-1,-
-,-,Doncaster Rovers,Wrexham,1-4,-
-,-,Gateshead,Wrexham,0-3,-
-,-,Halifax Town,Wrexham,1-3,-
-,-,Hartlepool United,Wrexham,4-1,-
-,-,Mansfield Town,Wrexham,1-1,-
-,-,New Brighton,Wrexham,0-1,-
-,-,Rochdale,Wrexham,1-2,-
-,-,Rotherham United,Wrexham,1-3,-
-,-,Southport,Wrexham,1-1,-
-,-,Stockport County,Wrexham,7-3,-
-,-,Tranmere Rovers,Wrexham,1-2,-
-,-,Walsall,Wrexham,3-1,-
-,-,York City,Wrexham,2-4,-
-,-,Accrington Stanley,York City,4-1,-
-,-,Barnsley,York City,1-0,-
-,-,Barrow,York City,2-2,-
-,-,Carlisle United,York City,3-2,-
-,-,Chester,York City,1-1,-
-,-,Chesterfield,York City,2-0,-
-,-,Crewe Alexandra,York City,5-3,-
-,-,Darlington,York City,4-0,-
-,-,Doncaster Rovers,York City,3-1,-
-,-,Gateshead,York City,0-2,-
-,-,Halifax Town,York City,3-0,-
-,-,Hartlepool United,York City,2-0,-
-,-,Mansfield Town,York City,0-2,-
-,-,New Brighton,York City,2-1,-
-,-,Rochdale,York City,3-6,-
-,-,Rotherham United,York City,3-2,-
-,-,Southport,York City,0-0,-
-,-,Stockport County,York City,2-1,-
-,-,Tranmere Rovers,York City,3-0,-
-,-,Walsall,York City,1-0,-
-,-,Wrexham,York City,2-3,-
