Round,Date,Team 1,Team 2,FT,HT
-,-,Swindon Town,Halifax Town,0-1,-
-,-,Torquay United,Halifax Town,1-3,-
-,-,Tranmere Rovers,Halifax Town,1-2,-
-,-,Wimbledon,Halifax Town,2-4,-
-,-,York City,Halifax Town,3-2,-
-,-,Aldershot,Hartlepool United,0-2,-
-,-,Blackpool,Hartlepool United,1-2,-
-,-,Bristol City,Hartlepool United,2-0,-
-,-,Bury,Hartlepool United,4-0,-
-,-,Chester,Hartlepool United,2-1,-
-,-,Colchester United,Hartlepool United,4-1,-
-,-,Crewe Alexandra,Hartlepool United,3-0,-
-,-,Darlington,Hartlepool United,2-1,-
-,-,Halifax Town,Hartlepool United,1-1,-
-,-,Hereford United,Hartlepool United,1-0,-
-,-,Hull City,Hartlepool United,1-1,-
-,-,Mansfield Town,Hartlepool United,3-0,-
-,-,Northampton Town,Hartlepool United,3-1,-
-,-,Peterborough United,Hartlepool United,2-1,-
-,-,Port Vale,Hartlepool United,3-0,-
-,-,Rochdale,Hartlepool United,2-0,-
-,-,Scunthorpe United,Hartlepool United,3-0,-
-,-,Stockport County,Hartlepool United,1-1,-
-,-,Swindon Town,Hartlepool United,3-0,-
-,-,Torquay United,Hartlepool United,3-2,-
-,-,Tranmere Rovers,Hartlepool United,1-1,-
-,-,Wimbledon,Hartlepool United,2-0,-
-,-,York City,Hartlepool United,5-1,-
-,-,Aldershot,Hereford United,2-1,-
-,-,Blackpool,Hereford United,5-1,-
-,-,Bristol City,Hereford United,1-1,-
-,-,Bury,Hereford United,3-2,-
-,-,Chester,Hereford United,5-0,-
-,-,Colchester United,Hereford United,3-2,-
-,-,Crewe Alexandra,Hereford United,3-1,-
-,-,Darlington,Hereford United,2-1,-
-,-,Halifax Town,Hereford United,2-2,-
-,-,Hartlepool United,Hereford United,0-1,-
-,-,Hull City,Hereford United,2-0,-
-,-,Mansfield Town,Hereford United,0-1,-
-,-,Northampton Town,Hereford United,2-1,-
-,-,Peterborough United,Hereford United,4-0,-
-,-,Port Vale,Hereford United,2-0,-
-,-,Rochdale,Hereford United,4-1,-
-,-,Scunthorpe United,Hereford United,1-2,-
-,-,Stockport County,Hereford United,2-1,-
-,-,Swindon Town,Hereford United,3-2,-
-,-,Torquay United,Hereford United,2-1,-
-,-,Tranmere Rovers,Hereford United,2-1,-
-,-,Wimbledon,Hereford United,1-0,-
-,-,York City,Hereford United,5-1,-
-,-,Aldershot,Hull City,1-2,-
-,-,Blackpool,Hull City,1-1,-
-,-,Bristol City,Hull City,2-1,-
-,-,Bury,Hull City,2-3,-
-,-,Chester,Hull City,0-0,-
-,-,Colchester United,Hull City,0-0,-
-,-,Crewe Alexandra,Hull City,0-3,-
-,-,Darlington,Hull City,1-2,-
-,-,Halifax Town,Hull City,1-2,-
-,-,Hartlepool United,Hull City,0-0,-
-,-,Hereford United,Hull City,2-0,-
-,-,Mansfield Town,Hull City,3-1,-
-,-,Northampton Town,Hull City,1-2,-
-,-,Peterborough United,Hull City,1-1,-
-,-,Port Vale,Hull City,1-0,-
-,-,Rochdale,Hull City,1-3,-
-,-,Scunthorpe United,Hull City,0-1,-
-,-,Stockport County,Hull City,1-1,-
-,-,Swindon Town,Hull City,0-1,-
-,-,Torquay United,Hull City,0-0,-
-,-,Tranmere Rovers,Hull City,0-1,-
-,-,Wimbledon,Hull City,1-2,-
-,-,York City,Hull City,1-0,-
-,-,Aldershot,Mansfield Town,2-1,-
-,-,Blackpool,Mansfield Town,2-1,-
