Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 26 Mar 1938 (12),Chester FC (12),2-1,?,Gateshead FC (5)
?,(Sat) 28 Aug 1937 (34),Chester FC (13),1-1,?,Halifax Town (5)
?,(Sat) 26 Feb 1938 (8),Chester FC (14),6-0,?,Hartlepool United (5)
?,(Sat) 12 Mar 1938 (10),Chester FC (15),1-3,?,Hull City (5)
?,(Sat) 23 Oct 1937 (42),Chester FC (16),1-1,?,Lincoln City (5)
?,(Sat) 6 Nov 1937 (44),Chester FC (17),1-2,?,New Brighton (5)
?,(Sat) 20 Nov 1937 (46),Chester FC (18),3-3,?,Oldham Athletic (5)
?,(Sat) 4 Dec 1937 (48),Chester FC (19),7-2,?,Port Vale FC (5)
?,(Sat) 9 Oct 1937 (40),Chester FC (20),4-1,?,Rochdale AFC (5)
?,(Sat) 25 Dec 1937 (51),Chester FC (21),2-3,?,Rotherham United (5)
?,(Sat) 25 Sep 1937 (38),Chester FC (22),2-1,?,Southport FC (5)
?,(Sat) 15 Jan 1938 (2),Chester FC (23),1-1,?,Tranmere Rovers (5)
?,(Fri) 15 Apr 1938 (15),Chester FC (24),2-1,?,Wrexham AFC (5)
?,(Sat) 11 Sep 1937 (36),Chester FC (25),4-3,?,York City (5)
?,(Sat) 16 Apr 1938 (15),Crewe Alexandra (6),3-1,?,Accrington Stanley (26)
?,(Sat) 12 Feb 1938 (6),Crewe Alexandra (7),4-0,?,Barrow AFC (26)
?,(Sat) 30 Oct 1937 (43),Crewe Alexandra (8),3-1,?,Bradford City (26)
?,(Sat) 9 Apr 1938 (14),Crewe Alexandra (9),4-1,?,Carlisle United (26)
?,(Wed) 6 Apr 1938 (14),Crewe Alexandra (10),1-0,?,Chester FC (26)
?,(Sat) 22 Jan 1938 (3),Crewe Alexandra (11),2-2,?,Darlington FC (6)
?,(Sat) 16 Oct 1937 (41),Crewe Alexandra (12),0-0,?,Doncaster Rovers (6)
?,(Sat) 1 Jan 1938 (0),Crewe Alexandra (13),1-3,?,Gateshead FC (6)
?,(Sat) 2 Apr 1938 (13),Crewe Alexandra (14),4-0,?,Halifax Town (6)
?,(Mon) 27 Dec 1937 (52),Crewe Alexandra (15),2-0,?,Hartlepool United (6)
?,(Wed) 15 Sep 1937 (37),Crewe Alexandra (16),0-1,?,Hull City (6)
?,(Fri) 15 Apr 1938 (15),Crewe Alexandra (17),2-0,?,Lincoln City (6)
?,(Wed) 1 Sep 1937 (35),Crewe Alexandra (18),1-0,?,New Brighton (6)
?,(Sat) 4 Sep 1937 (35),Crewe Alexandra (19),0-1,?,Oldham Athletic (6)
?,(Sat) 18 Sep 1937 (37),Crewe Alexandra (20),1-2,?,Port Vale FC (6)
?,(Sat) 5 Feb 1938 (5),Crewe Alexandra (21),5-1,?,Rochdale AFC (6)
?,(Sat) 30 Apr 1938 (17),Crewe Alexandra (22),3-1,?,Rotherham United (6)
?,(Sat) 5 Mar 1938 (9),Crewe Alexandra (23),5-0,?,Southport FC (6)
?,(Sat) 13 Nov 1937 (45),Crewe Alexandra (24),1-0,?,Tranmere Rovers (6)
?,(Sat) 9 Oct 1937 (40),Crewe Alexandra (25),1-1,?,Wrexham AFC (6)
?,(Sat) 19 Mar 1938 (11),Crewe Alexandra (26),4-2,?,York City (6)
?,(Sat) 2 Apr 1938 (13),Darlington FC (7),3-0,?,Accrington Stanley (27)
?,(Sat) 29 Jan 1938 (4),Darlington FC (8),0-1,?,Barrow AFC (27)
?,(Sat) 16 Oct 1937 (41),Darlington FC (9),4-2,?,Bradford City (27)
?,(Sat) 13 Nov 1937 (45),Darlington FC (10),3-1,?,Carlisle United (27)
?,(Wed) 27 Apr 1938 (17),Darlington FC (11),2-1,?,Chester FC (27)
?,(Sat) 11 Sep 1937 (36),Darlington FC (12),0-1,?,Crewe Alexandra (27)
?,(Sat) 30 Apr 1938 (17),Darlington FC (13),1-1,?,Doncaster Rovers (7)
?,(Wed) 15 Sep 1937 (37),Darlington FC (14),1-2,?,Gateshead FC (7)
?,(Sat) 19 Mar 1938 (11),Darlington FC (15),3-0,?,Halifax Town (7)
?,(Sat) 12 Feb 1938 (6),Darlington FC (16),2-0,?,Hartlepool United (7)
?,(Sat) 25 Dec 1937 (51),Darlington FC (17),1-3,?,Hull City (7)
?,(Sat) 9 Oct 1937 (40),Darlington FC (18),1-4,?,Lincoln City (7)
?,(Mon) 18 Apr 1938 (16),Darlington FC (19),1-0,?,New Brighton (7)
?,(Wed) 1 Sep 1937 (35),Darlington FC (20),1-0,?,Oldham Athletic (7)
?,(Sat) 15 Jan 1938 (2),Darlington FC (21),2-2,?,Port Vale FC (7)
?,(Sat) 11 Dec 1937 (49),Darlington FC (22),2-4,?,Rochdale AFC (7)
?,(Sat) 16 Apr 1938 (15),Darlington FC (23),2-1,?,Rotherham United (7)
?,(Sat) 28 Aug 1937 (34),Darlington FC (24),1-1,?,Southport FC (7)
?,(Sat) 30 Oct 1937 (43),Darlington FC (25),0-2,?,Tranmere Rovers (7)
?,(Sat) 25 Sep 1937 (38),Darlington FC (26),5-3,?,Wrexham AFC (7)
?,(Wed) 16 Mar 1938 (11),Darlington FC (27),2-2,?,York City (7)
?,(Sat) 19 Feb 1938 (7),Doncaster Rovers (8),5-1,?,Accrington Stanley (28)
?,(Sat) 23 Oct 1937 (42),Doncaster Rovers (9),1-0,?,Barrow AFC (28)
?,(Sat) 28 Aug 1937 (34),Doncaster Rovers (10),4-0,?,Bradford City (28)
?,(Mon) 27 Dec 1937 (52),Doncaster Rovers (11),1-3,?,Carlisle United (28)
?,(Sat) 2 Oct 1937 (39),Doncaster Rovers (12),2-1,?,Chester FC (28)
?,(Sat) 26 Feb 1938 (8),Doncaster Rovers (13),0-0,?,Crewe Alexandra (28)
?,(Sat) 18 Dec 1937 (50),Doncaster Rovers (14),4-0,?,Darlington FC (28)
?,(Sat) 4 Dec 1937 (48),Doncaster Rovers (15),1-0,?,Gateshead FC (8)
?,(Fri) 15 Apr 1938 (15),Doncaster Rovers (16),2-2,?,Halifax Town (8)
?,(Sat) 6 Nov 1937 (44),Doncaster Rovers (17),3-3,?,Hartlepool United (8)
?,(Sat) 20 Nov 1937 (46),Doncaster Rovers (18),2-1,?,Hull City (8)
?,(Sat) 26 Mar 1938 (12),Doncaster Rovers (19),3-0,?,Lincoln City (8)
