Date,Team 1,Team 2,FT
-,Chelsea,Bolton Wanderers,0-0
-,Derby County,Bolton Wanderers,4-2
-,Everton,Bolton Wanderers,4-1
-,Grimsby Town,Bolton Wanderers,0-1
-,Huddersfield Town,Bolton Wanderers,1-0
-,Leeds United,Bolton Wanderers,1-1
-,Leicester City,Bolton Wanderers,1-1
-,Liverpool,Bolton Wanderers,2-1
-,Manchester City,Bolton Wanderers,1-2
-,Middlesbrough,Bolton Wanderers,1-2
-,Portsmouth,Bolton Wanderers,1-1
-,Preston North End,Bolton Wanderers,2-2
-,Stoke City,Bolton Wanderers,3-2
-,Sunderland,Bolton Wanderers,3-1
-,West Bromwich Albion,Bolton Wanderers,2-4
-,Wolverhampton Wanderers,Bolton Wanderers,1-1
-,Arsenal,Brentford,0-2
-,Birmingham City,Brentford,0-0
-,Blackpool,Brentford,1-1
-,Bolton Wanderers,Brentford,2-0
-,Charlton Athletic,Brentford,1-0
-,Chelsea,Brentford,2-1
-,Derby County,Brentford,1-3
-,Everton,Brentford,3-0
-,Grimsby Town,Brentford,0-1
-,Huddersfield Town,Brentford,0-3
-,Leeds United,Brentford,4-0
-,Leicester City,Brentford,0-1
-,Liverpool,Brentford,3-4
-,Manchester City,Brentford,0-2
-,Middlesbrough,Brentford,0-1
-,Portsmouth,Brentford,4-1
-,Preston North End,Brentford,1-1
-,Stoke City,Brentford,3-0
-,Sunderland,Brentford,1-0
-,West Bromwich Albion,Brentford,4-3
-,Wolverhampton Wanderers,Brentford,2-1
-,Arsenal,Charlton Athletic,2-2
-,Birmingham City,Charlton Athletic,1-1
-,Blackpool,Charlton Athletic,1-0
-,Bolton Wanderers,Charlton Athletic,1-0
-,Brentford,Charlton Athletic,5-2
-,Chelsea,Charlton Athletic,1-1
-,Derby County,Charlton Athletic,3-2
-,Everton,Charlton Athletic,3-0
-,Grimsby Town,Charlton Athletic,1-1
-,Huddersfield Town,Charlton Athletic,1-1
-,Leeds United,Charlton Athletic,2-2
-,Leicester City,Charlton Athletic,1-0
-,Liverpool,Charlton Athletic,1-2
-,Manchester City,Charlton Athletic,5-3
-,Middlesbrough,Charlton Athletic,3-1
-,Portsmouth,Charlton Athletic,2-1
-,Preston North End,Charlton Athletic,0-1
-,Stoke City,Charlton Athletic,2-0
-,Sunderland,Charlton Athletic,1-1
-,West Bromwich Albion,Charlton Athletic,0-0
-,Wolverhampton Wanderers,Charlton Athletic,1-1
-,Arsenal,Chelsea,2-0
-,Birmingham City,Chelsea,1-1
-,Blackpool,Chelsea,0-2
-,Bolton Wanderers,Chelsea,5-5
-,Brentford,Chelsea,1-1
-,Charlton Athletic,Chelsea,3-1
-,Derby County,Chelsea,4-0
-,Everton,Chelsea,4-1
-,Grimsby Town,Chelsea,2-0
-,Huddersfield Town,Chelsea,1-2
-,Leeds United,Chelsea,2-0
-,Leicester City,Chelsea,1-0
-,Liverpool,Chelsea,2-2
-,Manchester City,Chelsea,1-0
-,Middlesbrough,Chelsea,4-3
-,Portsmouth,Chelsea,2-4
-,Preston North End,Chelsea,0-0
-,Stoke City,Chelsea,2-1
-,Sunderland,Chelsea,1-1
-,West Bromwich Albion,Chelsea,4-0
-,Wolverhampton Wanderers,Chelsea,1-1
-,Arsenal,Derby County,3-0
-,Birmingham City,Derby County,1-0
-,Blackpool,Derby County,1-1
-,Bolton Wanderers,Derby County,0-2
-,Brentford,Derby County,2-3
-,Charlton Athletic,Derby County,1-2
-,Chelsea,Derby County,3-0
-,Everton,Derby County,1-1
-,Grimsby Town,Derby County,0-0
-,Huddersfield Town,Derby County,2-0
-,Leeds United,Derby County,0-2
-,Leicester City,Derby County,0-0
-,Liverpool,Derby County,3-4
-,Manchester City,Derby County,6-1
-,Middlesbrough,Derby County,4-2
-,Portsmouth,Derby County,4-0
-,Preston North End,Derby County,4-1
-,Stoke City,Derby County,8-1
-,Sunderland,Derby County,2-0
-,West Bromwich Albion,Derby County,4-2
-,Wolverhampton Wanderers,Derby County,2-2
-,Arsenal,Everton,2-1
-,Birmingham City,Everton,0-3
-,Blackpool,Everton,1-0
-,Bolton Wanderers,Everton,1-2
-,Brentford,Everton,3-0
-,Charlton Athletic,Everton,3-1
-,Chelsea,Everton,2-0
-,Derby County,Everton,2-1
-,Grimsby Town,Everton,2-1
-,Huddersfield Town,Everton,1-3
-,Leeds United,Everton,4-4
-,Leicester City,Everton,3-1
-,Liverpool,Everton,1-2
-,Manchester City,Everton,2-0
-,Middlesbrough,Everton,1-2
-,Portsmouth,Everton,3-1
-,Preston North End,Everton,2-1
-,Stoke City,Everton,1-1
-,Sunderland,Everton,2-0
-,West Bromwich Albion,Everton,3-1
-,Wolverhampton Wanderers,Everton,2-0
-,Arsenal,Grimsby Town,5-1
-,Birmingham City,Grimsby Town,2-2
-,Blackpool,Grimsby Town,2-2
-,Bolton Wanderers,Grimsby Town,3-1
-,Brentford,Grimsby Town,6-1
-,Charlton Athletic,Grimsby Town,0-0
-,Chelsea,Grimsby Town,1-0
-,Derby County,Grimsby Town,1-2
-,Everton,Grimsby Town,3-2
-,Huddersfield Town,Grimsby Town,1-2
-,Leeds United,Grimsby Town,1-1
-,Leicester City,Grimsby Town,1-0
-,Liverpool,Grimsby Town,2-1
-,Manchester City,Grimsby Town,3-1
-,Middlesbrough,Grimsby Town,1-0
-,Portsmouth,Grimsby Town,3-0
-,Preston North End,Grimsby Town,4-1
-,Stoke City,Grimsby Town,1-1
-,Sunderland,Grimsby Town,2-2
-,West Bromwich Albion,Grimsby Town,2-1
-,Wolverhampton Wanderers,Grimsby Town,1-1
-,Arsenal,Huddersfield Town,3-1
-,Birmingham City,Huddersfield Town,2-2
-,Blackpool,Huddersfield Town,4-0
-,Bolton Wanderers,Huddersfield Town,2-0
-,Brentford,Huddersfield Town,2-0
-,Charlton Athletic,Huddersfield Town,4-0
-,Chelsea,Huddersfield Town,3-1
-,Derby County,Huddersfield Town,0-4
-,Everton,Huddersfield Town,1-2
-,Grimsby Town,Huddersfield Town,4-2
-,Leeds United,Huddersfield Town,2-1
-,Leicester City,Huddersfield Town,2-1
-,Liverpool,Huddersfield Town,0-1
-,Manchester City,Huddersfield Town,3-2
-,Middlesbrough,Huddersfield Town,0-1
-,Portsmouth,Huddersfield Town,3-0
-,Preston North End,Huddersfield Town,1-1
-,Stoke City,Huddersfield Town,0-1
-,Sunderland,Huddersfield Town,2-1
-,West Bromwich Albion,Huddersfield Town,5-1
-,Wolverhampton Wanderers,Huddersfield Town,1-4
-,Arsenal,Leeds United,4-1
-,Birmingham City,Leeds United,3-2
-,Blackpool,Leeds United,5-2
-,Bolton Wanderers,Leeds United,0-0
-,Brentford,Leeds United,1-1
-,Charlton Athletic,Leeds United,1-1
-,Chelsea,Leeds United,4-1
-,Derby County,Leeds United,2-2
-,Everton,Leeds United,1-1
-,Grimsby Town,Leeds United,1-1
-,Huddersfield Town,Leeds United,0-3
-,Leicester City,Leeds United,2-4
-,Liverpool,Leeds United,1-1
-,Manchester City,Leeds United,6-2
-,Middlesbrough,Leeds United,2-0
-,Portsmouth,Leeds United,4-0
-,Preston North End,Leeds United,3-1
-,Stoke City,Leeds United,0-1
-,Sunderland,Leeds United,0-0
-,West Bromwich Albion,Leeds United,2-1
-,Wolverhampton Wanderers,Leeds United,1-1
-,Arsenal,Leicester City,3-1
-,Birmingham City,Leicester City,4-1
-,Blackpool,Leicester City,2-4
-,Bolton Wanderers,Leicester City,6-1
-,Brentford,Leicester City,1-1
-,Charlton Athletic,Leicester City,2-0
-,Chelsea,Leicester City,4-1
-,Derby County,Leicester City,0-1
-,Everton,Leicester City,3-0
-,Grimsby Town,Leicester City,2-1
-,Huddersfield Town,Leicester City,0-0
-,Leeds United,Leicester City,0-2
-,Liverpool,Leicester City,1-1
-,Manchester City,Leicester City,3-0
-,Middlesbrough,Leicester City,4-2
-,Portsmouth,Leicester City,1-1
-,Preston North End,Leicester City,0-0
-,Stoke City,Leicester City,1-2
-,Sunderland,Leicester City,1-0
-,West Bromwich Albion,Leicester City,1-3
-,Wolverhampton Wanderers,Leicester City,10-1
-,Arsenal,Liverpool,1-0
-,Birmingham City,Liverpool,2-2
-,Blackpool,Liverpool,0-1
-,Bolton Wanderers,Liverpool,0-0
-,Brentford,Liverpool,1-3
-,Charlton Athletic,Liverpool,3-0
-,Chelsea,Liverpool,6-1
-,Derby County,Liverpool,4-1
-,Everton,Liverpool,1-3
-,Grimsby Town,Liverpool,0-0
-,Huddersfield Town,Liverpool,1-2
-,Leeds United,Liverpool,2-0
-,Leicester City,Liverpool,2-2
-,Manchester City,Liverpool,1-3
-,Middlesbrough,Liverpool,1-1
-,Portsmouth,Liverpool,1-1
-,Preston North End,Liverpool,4-1
-,Stoke City,Liverpool,2-0
-,Sunderland,Liverpool,2-3
-,West Bromwich Albion,Liverpool,5-1
-,Wolverhampton Wanderers,Liverpool,2-0
-,Arsenal,Manchester City,2-1
-,Birmingham City,Manchester City,2-2
-,Blackpool,Manchester City,2-1
-,Bolton Wanderers,Manchester City,2-1
-,Brentford,Manchester City,2-1
-,Charlton Athletic,Manchester City,0-0
-,Chelsea,Manchester City,2-2
-,Derby County,Manchester City,1-7
-,Everton,Manchester City,4-1
-,Grimsby Town,Manchester City,3-1
-,Huddersfield Town,Manchester City,1-0
-,Leeds United,Manchester City,2-1
-,Leicester City,Manchester City,1-4
-,Liverpool,Manchester City,2-0
-,Middlesbrough,Manchester City,4-0
-,Portsmouth,Manchester City,2-2
-,Preston North End,Manchester City,2-2
-,Stoke City,Manchester City,3-2
-,Sunderland,Manchester City,3-1
-,West Bromwich Albion,Manchester City,1-1
-,Wolverhampton Wanderers,Manchester City,3-1
-,Arsenal,Middlesbrough,1-2
-,Birmingham City,Middlesbrough,3-1
-,Blackpool,Middlesbrough,4-2
-,Bolton Wanderers,Middlesbrough,3-1
-,Brentford,Middlesbrough,3-3
-,Charlton Athletic,Middlesbrough,1-0
-,Chelsea,Middlesbrough,0-1
-,Derby County,Middlesbrough,1-1
-,Everton,Middlesbrough,2-2
-,Grimsby Town,Middlesbrough,2-1
-,Huddersfield Town,Middlesbrough,3-0
-,Leeds United,Middlesbrough,5-3
-,Leicester City,Middlesbrough,0-1
-,Liverpool,Middlesbrough,1-1
-,Manchester City,Middlesbrough,1-6
-,Portsmouth,Middlesbrough,0-2
-,Preston North End,Middlesbrough,0-2
-,Stoke City,Middlesbrough,3-0
-,Sunderland,Middlesbrough,3-1
-,West Bromwich Albion,Middlesbrough,3-1
-,Wolverhampton Wanderers,Middlesbrough,0-1
-,Arsenal,Portsmouth,1-1
-,Birmingham City,Portsmouth,2-2
-,Blackpool,Portsmouth,2-0
-,Bolton Wanderers,Portsmouth,1-1
-,Brentford,Portsmouth,2-0
-,Charlton Athletic,Portsmouth,5-1
-,Chelsea,Portsmouth,3-1
-,Derby County,Portsmouth,1-0
-,Everton,Portsmouth,5-2
-,Grimsby Town,Portsmouth,1-0
-,Huddersfield Town,Portsmouth,2-0
-,Leeds United,Portsmouth,3-1
-,Leicester City,Portsmouth,3-3
-,Liverpool,Portsmouth,3-2
-,Manchester City,Portsmouth,2-1
-,Middlesbrough,Portsmouth,0-0
-,Preston North End,Portsmouth,1-1
-,Stoke City,Portsmouth,3-1
-,Sunderland,Portsmouth,0-2
-,West Bromwich Albion,Portsmouth,1-2
-,Wolverhampton Wanderers,Portsmouth,5-0
-,Arsenal,Preston North End,2-0
-,Birmingham City,Preston North End,0-2
-,Blackpool,Preston North End,1-0
-,Bolton Wanderers,Preston North End,1-4
-,Brentford,Preston North End,2-1
-,Charlton Athletic,Preston North End,0-0
-,Chelsea,Preston North End,0-2
-,Derby County,Preston North End,1-1
-,Everton,Preston North End,3-5
-,Grimsby Town,Preston North End,1-1
-,Huddersfield Town,Preston North End,1-3
-,Leeds United,Preston North End,0-0
-,Leicester City,Preston North End,1-0
-,Liverpool,Preston North End,2-2
-,Manchester City,Preston North End,1-2
-,Middlesbrough,Preston North End,2-1
-,Portsmouth,Preston North End,3-2
-,Stoke City,Preston North End,1-1
-,Sunderland,Preston North End,0-2
-,West Bromwich Albion,Preston North End,1-1
-,Wolverhampton Wanderers,Preston North End,0-0
-,Arsenal,Stoke City,4-0
-,Birmingham City,Stoke City,1-1
-,Blackpool,Stoke City,0-1
-,Bolton Wanderers,Stoke City,1-0
-,Brentford,Stoke City,0-0
-,Charlton Athletic,Stoke City,3-0
-,Chelsea,Stoke City,2-1
-,Derby County,Stoke City,4-1
-,Everton,Stoke City,3-0
-,Grimsby Town,Stoke City,1-5
-,Huddersfield Town,Stoke City,3-0
-,Leeds United,Stoke City,2-1
-,Leicester City,Stoke City,2-0
-,Liverpool,Stoke City,3-0
-,Manchester City,Stoke City,0-0
-,Middlesbrough,Stoke City,2-1
-,Portsmouth,Stoke City,2-0
-,Preston North End,Stoke City,2-1
-,Sunderland,Stoke City,1-1
-,West Bromwich Albion,Stoke City,0-1
-,Wolverhampton Wanderers,Stoke City,2-2
-,Arsenal,Sunderland,4-1
-,Birmingham City,Sunderland,2-2
-,Blackpool,Sunderland,0-0
-,Bolton Wanderers,Sunderland,1-1
-,Brentford,Sunderland,4-0
-,Charlton Athletic,Sunderland,2-1
-,Chelsea,Sunderland,0-0
-,Derby County,Sunderland,2-2
-,Everton,Sunderland,3-3
-,Grimsby Town,Sunderland,0-2
-,Huddersfield Town,Sunderland,1-1
-,Leeds United,Sunderland,4-3
-,Leicester City,Sunderland,4-0
-,Liverpool,Sunderland,4-0
-,Manchester City,Sunderland,0-0
-,Middlesbrough,Sunderland,2-1
-,Portsmouth,Sunderland,1-0
-,Preston North End,Sunderland,0-0
-,Stoke City,Sunderland,0-0
-,West Bromwich Albion,Sunderland,1-6
-,Wolverhampton Wanderers,Sunderland,4-0
-,Arsenal,West Bromwich Albion,1-1
-,Birmingham City,West Bromwich Albion,2-1
-,Blackpool,West Bromwich Albion,3-1
-,Bolton Wanderers,West Bromwich Albion,3-0
-,Brentford,West Bromwich Albion,0-2
-,Charlton Athletic,West Bromwich Albion,3-1
-,Chelsea,West Bromwich Albion,2-2
-,Derby County,West Bromwich Albion,5-3
-,Everton,West Bromwich Albion,5-3
-,Grimsby Town,West Bromwich Albion,1-4
-,Huddersfield Town,West Bromwich Albion,2-1
-,Leeds United,West Bromwich Albion,1-0
-,Leicester City,West Bromwich Albion,4-1
-,Liverpool,West Bromwich Albion,0-1
-,Manchester City,West Bromwich Albion,7-1
-,Middlesbrough,West Bromwich Albion,4-1
-,Portsmouth,West Bromwich Albion,2-3
-,Preston North End,West Bromwich Albion,1-1
-,Stoke City,West Bromwich Albion,4-0
-,Sunderland,West Bromwich Albion,3-0
-,Wolverhampton Wanderers,West Bromwich Albion,2-1
-,Arsenal,Wolverhampton Wanderers,5-0
-,Birmingham City,Wolverhampton Wanderers,2-0
-,Blackpool,Wolverhampton Wanderers,0-2
-,Bolton Wanderers,Wolverhampton Wanderers,1-2
-,Brentford,Wolverhampton Wanderers,2-1
-,Charlton Athletic,Wolverhampton Wanderers,4-1
-,Chelsea,Wolverhampton Wanderers,0-2
-,Derby County,Wolverhampton Wanderers,1-2
-,Everton,Wolverhampton Wanderers,0-1
-,Grimsby Town,Wolverhampton Wanderers,1-0
-,Huddersfield Town,Wolverhampton Wanderers,1-0
-,Leeds United,Wolverhampton Wanderers,1-2
-,Leicester City,Wolverhampton Wanderers,1-1
-,Liverpool,Wolverhampton Wanderers,0-1
-,Manchester City,Wolverhampton Wanderers,2-4
-,Middlesbrough,Wolverhampton Wanderers,0-3
-,Portsmouth,Wolverhampton Wanderers,1-0
-,Preston North End,Wolverhampton Wanderers,2-0
-,Stoke City,Wolverhampton Wanderers,1-1
-,Sunderland,Wolverhampton Wanderers,1-0
-,West Bromwich Albion,Wolverhampton Wanderers,2-2
