Date,Team 1,Team 2,FT
-,Leicester City,Huddersfield Town,1-3
-,Manchester City,Huddersfield Town,2-4
-,Manchester United,Huddersfield Town,1-1
-,Newcastle United,Huddersfield Town,2-2
-,Portsmouth,Huddersfield Town,4-2
-,Preston North End,Huddersfield Town,2-3
-,Sheffield United,Huddersfield Town,2-2
-,Sheffield Wednesday,Huddersfield Town,4-1
-,Sunderland,Huddersfield Town,1-1
-,Tottenham Hotspur,Huddersfield Town,1-1
-,West Bromwich Albion,Huddersfield Town,2-1
-,Wolverhampton Wanderers,Huddersfield Town,6-4
-,Arsenal,Leicester City,1-1
-,Aston Villa,Leicester City,2-5
-,Blackpool,Leicester City,2-0
-,Bolton Wanderers,Leicester City,4-1
-,Burnley,Leicester City,3-1
-,Cardiff City,Leicester City,2-1
-,Charlton Athletic,Leicester City,2-3
-,Chelsea,Leicester City,3-1
-,Everton,Leicester City,2-2
-,Huddersfield Town,Leicester City,3-1
-,Manchester City,Leicester City,2-2
-,Manchester United,Leicester City,3-1
-,Newcastle United,Leicester City,2-0
-,Portsmouth,Leicester City,2-1
-,Preston North End,Leicester City,2-4
-,Sheffield United,Leicester City,1-1
-,Sheffield Wednesday,Leicester City,1-0
-,Sunderland,Leicester City,1-1
-,Tottenham Hotspur,Leicester City,5-1
-,West Bromwich Albion,Leicester City,6-4
-,Wolverhampton Wanderers,Leicester City,5-0
-,Arsenal,Manchester City,2-3
-,Aston Villa,Manchester City,2-0
-,Blackpool,Manchester City,1-3
-,Bolton Wanderers,Manchester City,2-2
-,Burnley,Manchester City,2-0
-,Cardiff City,Manchester City,3-0
-,Charlton Athletic,Manchester City,1-1
-,Chelsea,Manchester City,0-2
-,Everton,Manchester City,1-0
-,Huddersfield Town,Manchester City,0-0
-,Leicester City,Manchester City,0-2
-,Manchester United,Manchester City,0-5
-,Newcastle United,Manchester City,2-0
-,Portsmouth,Manchester City,1-0
-,Preston North End,Manchester City,5-0
-,Sheffield United,Manchester City,0-2
-,Sheffield Wednesday,Manchester City,2-4
