Round,Date,Team 1,FT,Team 2
1,Sun Nov 10 2019,Chippenham Town FC,0-3,Northampton Town FC
1,Sun Nov 10 2019,Bristol Rovers FC,1-1,Bromley FC
1,Sun Nov 10 2019,Macclesfield Town FC,0-4,Kingstonian FC
1,Sun Nov 10 2019,Barnet FC,0-2,Fleetwood Town FC
1,Sun Nov 10 2019,Wrexham AFC,0-0,Rochdale AFC
1,Sun Nov 10 2019,Hayes & Yeading United FC,0-2,Oxford United FC
1,Mon Nov 11 2019,Harrogate Town AFC,1-2,Portsmouth FC
1,Tue Nov 12 2019,Yeovil Town FC,1-4,Hartlepool United FC
1,Tue Nov 19 2019,Bradford City AFC,0-1,Shrewsbury Town FC
1,Tue Nov 19 2019,Bromley FC,0-1,Bristol Rovers FC
1,Tue Nov 19 2019,Burton Albion FC,4-1,Salford City FC
1,Tue Nov 19 2019,Doncaster Rovers FC,2-0,AFC Wimbledon
1,Tue Nov 19 2019,Eastleigh FC,3-0,Stourbridge FC
1,Tue Nov 19 2019,Exeter City FC,1-0,Cambridge United FC
1,Tue Nov 19 2019,Gillingham FC,0-0,Sunderland AFC
1,Tue Nov 19 2019,Peterborough United FC,2-0,Stevenage FC
1,Tue Nov 19 2019,Rochdale AFC,1-0,Wrexham AFC
1,Tue Nov 19 2019,Swindon Town FC,0-1,Cheltenham Town FC
1,Wed Nov 20 2019,Newport County AFC,2-0,Grimsby Town FC
1,Wed Nov 20 2019,Darlington FC,0-1,Walsall FC
1,Wed Nov 20 2019,Lincoln City FC,0-1,Ipswich Town FC
1,Wed Nov 20 2019,Wycombe Wanderers FC,1-1,Tranmere Rovers FC
2,Fri Nov 29 2019,Maldon & Tiptree FC,0-1,Newport County AFC
2,Sat Nov 30 2019,Portsmouth FC,2-1,Altrincham FC
2,Sat Nov 30 2019,Shrewsbury Town FC,2-0,Mansfield Town FC
2,Sat Nov 30 2019,Kingstonian FC,0-2,AFC Fylde
2,Sat Nov 30 2019,Walsall FC,0-1,Oxford United FC
2,Sat Nov 30 2019,Forest Green Rovers FC,2-2,Carlisle United FC
2,Sat Nov 30 2019,Oldham Athletic AFC,0-1,Burton Albion FC
2,Sat Nov 30 2019,Cheltenham Town FC,1-3,Port Vale FC
2,Sat Nov 30 2019,Eastleigh FC,1-1,Crewe Alexandra FC
2,Sun Dec 1 2019,Blackpool FC,3-1,Maidstone United FC
2,Sun Dec 1 2019,Coventry City FC,1-1,Ipswich Town FC
2,Sun Dec 1 2019,Exeter City FC,2-2,Hartlepool United FC
2,Sun Dec 1 2019,Gillingham FC,3-0,Doncaster Rovers FC
2,Sun Dec 1 2019,Rochdale AFC,0-0,Boston United FC
2,Sun Dec 1 2019,Peterborough United FC,3-0,Dover Athletic FC
2,Sun Dec 1 2019,Crawley Town FC,1-2,Fleetwood Town FC
2,Sun Dec 1 2019,Northampton Town FC,3-1,Notts County FC
2,Sun Dec 1 2019,Bristol Rovers FC,1-1,Plymouth Argyle FC
2,Sun Dec 1 2019,Tranmere Rovers FC,5-1,Chichester City FC
2,Mon Dec 2 2019,Solihull Moors FC,3-4,Rotherham United FC
2,Tue Dec 10 2019,Carlisle United FC,1-0,Forest Green Rovers FC
2,Tue Dec 10 2019,Crewe Alexandra FC,3-1,Eastleigh FC
2,Tue Dec 10 2019,Ipswich Town FC,1-2,Coventry City FC
2,Tue Dec 10 2019,Hartlepool United FC,0-0,Exeter City FC
2,Mon Dec 16 2019,Boston United FC,1-2,Rochdale AFC
2,Tue Dec 17 2019,Plymouth Argyle FC,0-1,Bristol Rovers FC
3,Sat Jan 4 2020,Rochdale AFC,1-1,Newcastle United FC
3,Sat Jan 4 2020,Bristol City FC,1-1,Shrewsbury Town FC
3,Sat Jan 4 2020,Millwall FC,3-0,Newport County AFC
3,Sat Jan 4 2020,Rotherham United FC,2-3,Hull City AFC
3,Sat Jan 4 2020,Burnley FC,4-2,Peterborough United FC
3,Sat Jan 4 2020,Birmingham City FC,2-1,Blackburn Rovers FC
3,Sat Jan 4 2020,Fulham FC,2-1,Aston Villa FC
3,Sat Jan 4 2020,Cardiff City FC,2-2,Carlisle United FC
3,Sat Jan 4 2020,Oxford United FC,4-1,Hartlepool United FC
3,Sat Jan 4 2020,Southampton FC,2-0,Huddersfield Town AFC
3,Sat Jan 4 2020,Brighton & Hove Albion FC,0-1,Sheffield Wednesday FC
3,Sat Jan 4 2020,Reading FC,2-2,Blackpool FC
3,Sat Jan 4 2020,Watford FC,3-3,Tranmere Rovers FC
3,Sat Jan 4 2020,Preston North End FC,2-4,Norwich City FC
3,Sat Jan 4 2020,Brentford FC,1-0,Stoke City FC
3,Sat Jan 4 2020,Leicester City FC,2-0,Wigan Athletic FC
3,Sat Jan 4 2020,Wolverhampton Wanderers FC,0-0,Manchester United FC
3,Sat Jan 4 2020,AFC Bournemouth,4-0,Luton Town FC
3,Sat Jan 4 2020,Manchester City FC,4-1,Port Vale FC
3,Sat Jan 4 2020,Fleetwood Town FC,1-2,Portsmouth FC
3,Sun Jan 5 2020,Queens Park Rangers FC,5-1,Swansea City FC
3,Sun Jan 5 2020,Chelsea FC,2-0,Nottingham Forest FC
3,Sun Jan 5 2020,Charlton Athletic FC,0-1,West Bromwich Albion FC
3,Sun Jan 5 2020,Sheffield United FC,2-1,AFC Fylde
3,Sun Jan 5 2020,Bristol Rovers FC,2-2,Coventry City FC
3,Sun Jan 5 2020,Crewe Alexandra FC,1-3,Barnsley FC
3,Sun Jan 5 2020,Middlesbrough FC,1-1,Tottenham Hotspur FC
3,Sun Jan 5 2020,Crystal Palace FC,0-1,Derby County FC
3,Sun Jan 5 2020,Burton Albion FC,2-4,Northampton Town FC
3,Sun Jan 5 2020,Liverpool FC,1-0,Everton FC
3,Sun Jan 5 2020,Gillingham FC,0-2,West Ham United FC
3,Mon Jan 6 2020,Arsenal FC,1-0,Leeds United FC
3,Tue Jan 14 2020,Newcastle United FC,4-1,Rochdale AFC
3,Tue Jan 14 2020,Shrewsbury Town FC,1-0,Bristol City FC
3,Tue Jan 14 2020,Blackpool FC,0-2,Reading FC
3,Tue Jan 14 2020,Coventry City FC,3-0,Bristol Rovers FC
3,Tue Jan 14 2020,Tottenham Hotspur FC,2-1,Middlesbrough FC
3,Wed Jan 15 2020,Carlisle United FC,3-4,Cardiff City FC
3,Wed Jan 15 2020,Manchester United FC,1-0,Wolverhampton Wanderers FC
3,Thu Jan 23 2020,Tranmere Rovers FC,1-1,Watford FC
4,Fri Jan 24 2020,Queens Park Rangers FC,1-2,Sheffield Wednesday FC
4,Fri Jan 24 2020,Northampton Town FC,0-0,Derby County FC
4,Sat Jan 25 2020,Brentford FC,0-1,Leicester City FC
4,Sat Jan 25 2020,Southampton FC,1-1,Tottenham Hotspur FC
4,Sat Jan 25 2020,Millwall FC,0-2,Sheffield United FC
4,Sat Jan 25 2020,Reading FC,1-1,Cardiff City FC
4,Sat Jan 25 2020,West Ham United FC,0-1,West Bromwich Albion FC
4,Sat Jan 25 2020,Burnley FC,1-2,Norwich City FC
4,Sat Jan 25 2020,Coventry City FC,0-0,Birmingham City FC
4,Sat Jan 25 2020,Newcastle United FC,0-0,Oxford United FC
4,Sat Jan 25 2020,Portsmouth FC,4-2,Barnsley FC
4,Sat Jan 25 2020,Hull City AFC,1-2,Chelsea FC
4,Sun Jan 26 2020,Manchester City FC,4-0,Fulham FC
4,Sun Jan 26 2020,Tranmere Rovers FC,0-6,Manchester United FC
4,Sun Jan 26 2020,Shrewsbury Town FC,2-2,Liverpool FC
4,Mon Jan 27 2020,AFC Bournemouth,1-2,Arsenal FC
4,Tue Feb 4 2020,Cardiff City FC,2-2,Reading FC
4,Tue Feb 4 2020,Derby County FC,4-2,Northampton Town FC
4,Tue Feb 4 2020,Birmingham City FC,1-1,Coventry City FC
4,Tue Feb 4 2020,Liverpool FC,1-0,Shrewsbury Town FC
4,Tue Feb 4 2020,Oxford United FC,2-2,Newcastle United FC
4,Wed Feb 5 2020,Tottenham Hotspur FC,3-2,Southampton FC
Round of 16,Mon Mar 2 2020,Portsmouth FC,0-2,Arsenal FC
Round of 16,Tue Mar 3 2020,Chelsea FC,2-0,Liverpool FC
Round of 16,Tue Mar 3 2020,Reading FC,1-1,Sheffield United FC
Round of 16,Tue Mar 3 2020,West Bromwich Albion FC,2-3,Newcastle United FC
Round of 16,Wed Mar 4 2020,Sheffield Wednesday FC,0-1,Manchester City FC
Round of 16,Wed Mar 4 2020,Leicester City FC,1-0,Birmingham City FC
Round of 16,Wed Mar 4 2020,Tottenham Hotspur FC,1-1,Norwich City FC
Round of 16,Thu Mar 5 2020,Derby County FC,0-3,Manchester United FC
Quarterfinals,Sat Jun 27 2020,Norwich City FC,1-1,Manchester United FC
Quarterfinals,Sun Jun 28 2020,Sheffield United FC,1-2,Arsenal FC
Quarterfinals,Sun Jun 28 2020,Leicester City FC,0-1,Chelsea FC
Quarterfinals,Sun Jun 28 2020,Newcastle United FC,0-2,Manchester City FC
Semifinals,Sat Jul 18 2020,Arsenal FC,2-0,Manchester City FC
Semifinals,Sun Jul 19 2020,Manchester United FC,1-3,Chelsea FC
Final,Sat Aug 1 2020,Arsenal FC,,Chelsea FC
